笔记链接,笔记标题,点赞数,收藏数,笔记内容,笔记标签
https://www.xiaohongshu.com/explore/6467241f000000001303d012,西安后海🌊,641,289,1⃣📍：浐灞后海观景平台2⃣🚃交通路线：地铁3号线(保税区方向)香湖湾B2口出p3在浐灞中心,"#西安后海,#日落,#氛围感,#浐灞,#周末去哪儿,#西安周边"
https://www.xiaohongshu.com/explore/6422552a000000001203ca73,西安后海,357,222,攻略西安北站到后海：地铁2号线到小寨换往保税区方向的3号线坐到香湖湾（地铁开着开着就到了地上，有一段路程横跨后海，景色很好看）地铁通勤时间大概一个半小时左右。可以在小寨附近玩过之后再去后海那边，到了香湖湾在A1口出绕着西安世博园游玩，风景很好，罗曼小镇也在里面，都是欧式建筑很出片，很多拍婚纱照的。再回到A1口可以步行也可以骑共享单车去后海那边，两个地方离的不远。总结：小寨、后海、罗曼小镇得空出一天的时间玩，因为通勤时间有点长。如果不是很晚，可以从后海坐3号线到咸宁路换乘6号线到钟楼打卡拍照📷,#西安旅行
https://www.xiaohongshu.com/explore/64a04fbe0000000013014e60,总要去一趟西安后海吧，一起看海吹风吧,920,365,不需要门票和预约夏天建议大家七八点钟去 白天真的特别热特别晒!而且没有室内避暑的地方大桥开灯时间是在周末的七八点左右村上春树说:“看海看久了想见人，见人见多了想看海。”不得不承认海洋的治愈力量是无限的。我希望从大海的蓝中找寻力量，即便是散发着海潮的湿濡味，也依然想靠近你。如余光中写的:“与海为邻，住在无尽蓝的隔壁，却无壁可隔，一无所有，却拥有一切夜晚有夜市，9点30前大桥会亮拍照绝美桥上有超多骑摩托车的小哥哥夜市有卖各种小吃的周六日人多，建议不要开车哦，不好停车，而且不好出去,"#总要去一趟西安的后海吧,#西安浐灞后海,#西安后海"
https://www.xiaohongshu.com/explore/6412fdbf0000000013032ac4,西安旅游骑行路线推荐系列之～后海不是海,55,27,这里水面宽阔、碧波荡漾，这里杨柳依依、风景秀丽，这里是西安新晋打卡地一西安后海[自拍R][种草R]景点介绍[种草R][拔草R]西安的后海就是灞河提升水位的人造景观，湖水清澈，波光粼粼，美不胜收！灞河两岸修起观景台，供游人在这里观景游玩；夜幕降临，霓虹闪烁，灞河两岸建筑、景观、不远处的彩虹桥倒映在水面上，五光十色，恍惚间犹如来到了上海外滩，美的让人沉醉[微笑R]夏天的傍晚，市区燥热难耐，唯有这里能有丝丝丝清涼，远的、近的市民都从四面八方来到这，或避暑纳凉，或慢跑健身，或观景拍照，或露营钓鱼，或摆摊叫卖，搞得后海好不热用，曾由这里掀起西安后备箱经济的热潮[自拍R]打卡攻略[自拍R][抠鼻R]来后海除观赏后海“海景”之余，还可以泛舟后海，体验“海上冲浪”的乐趣，乘船体验时间约三十分钟[派对R]后海最佳观赏时间是下午的五点到晚上九点夏季也可以再晚一点，这个时间段非常适合拍照，另外这个时间段既能看到傍晚夕阳西下，霞光洒于后海的惊艳 景色，也可以欣赏彩虹桥如梦似幻的灯光秀[吧唧R]周边的河堤路上非常适合骑行，享受惬意的晚风以及光怪陆离的景色，体会不一样的旅途[公路车R]骑行攻略[公路车R][斜眼R]租车点：地铁做到李家村B口100米[派对R]目的地：西安世博园总里程18公里，沿途路过西安城墙、灞河河堤路（参考图四）,"#电动车,#西安旅游,#西安,#西安大学生"
https://www.xiaohongshu.com/explore/648810840000000027028052,西安后海｜属于这座城市的浪漫💕,100,31,落日把这片后海显得浪漫极了来一杯手打柠檬茶逛着这座城市最“野”的街印着这片夕阳把想你的风吹到后海,"#后海,#浪漫,#遛娃好去处,#集市,#西安"
https://www.xiaohongshu.com/explore/64d88966000000000c034bd8,西安后海呐❤,12,2,人超级多，到晚上12点，所有人才会慢慢的往回走。拍照还是挺有氛围感的，主要就是10点左右彩虹桥上面的灯会关掉。还有小吃街，小吃街上面的东西罢了，也不贵，就是普通夜市上面的小吃。还有各种调的酒，就还不错，价格也和南门的差不多。就整个环境都挺有氛围感的，吹吹小风~喝喝酒。帅哥美女也是比较多的。要去的话可以带个打光灯，要不然整张脸都是黑的看不清楚。附近也有共享充电宝，外面还有蹦蹦送你到地铁口~挺推荐的！！！太爱了~❤,
https://www.xiaohongshu.com/explore/6425050c000000001303eff9,终于知道为什么叫后海了，原来西安真的有海,83,35,之前去后海都是晚上去的，就是为了看夜景和找好吃的，这次有空就下午去，最近天气合适不像夏天那么热，周内就有好多人来露营了，我就想问这么多人不上班的嘛，大家可以下午来露营、晒太阳，晚上吃完好吃的看完夜景再走。白天沐浴着阳光看着宽阔的河面真的很治愈，也许我们去不了真正的海边，那就来后海享受片刻的宁静吧。地址：AR浐灞后海观景平台 西安市灞桥区,"#西安后海,#西安浐灞后海,#西安浐灞,#五一游玩,#浐灞后海"
https://www.xiaohongshu.com/explore/650f6c7f000000001d017c02,西安后海,54,22,在夜晚，在城市边缘，总有孤独与自由存在。🏷路线：地铁3号线到香湖湾，B2出来后打车过去就可以啦！🏷开灯时间：晚上八点🏷傍晚日落与夜景都很棒！值得一来！,"#蓝色系,#桥梁,#水波纹"
https://www.xiaohongshu.com/explore/65216d1e000000001e021854,号外!号外!浐灞后海夜市关闭!不要再跑空了,23,8,刚去过，好多警车🚓 在路口拦截车辆和行人🚶🏻‍♀️问了下“👮🏻‍♀️叔叔”，说以后也不开了，也许换地方了 ，但没说具体是哪里，等后续再来找到根据地我和大家通报。近期天气好转了，大家要来玩的不要跑空了,"#西安浐灞后海,#不懂就问有问必答"
https://www.xiaohongshu.com/explore/65c794a3000000002c0362da,西安后海,16,2,,
https://www.xiaohongshu.com/explore/6452414d000000000800ea83,😭哭了 千万别相信西安后海 本地人都上当了,10+,1,次次都上当 当当不一样 心心念念去了所谓的西安后海 抖音上又有沙滩又有这那的 结果去了 啥啥没有 光堵车了就跟普通的城市公园一样 没啥区别😾,"#西安旅行,#拍照姿势,#五一去哪玩,#五一假期"
https://www.xiaohongshu.com/explore/642af0f90000000013016109,西安后海攻略,261,152,前提说明我是在周六下午三点多到六点多去的，去早了很晒很热，所以推荐大家在四五点到七八点去最佳(可以同时看到夕阳和黑天那个桥的亮灯)，来得早可以在上面小吃一条街买点小吃(下面会说)乘车方式(不是很推荐大家开车去，因为根本没地方停车，但是要是东西多一定要的话，当我没说)浐灞9号线下车的位置不是观景台的位置，所以要往回走一下(不是很远，差不多看到很多车在堵着就快到了)充电宝在租船的地方有哦注意！后海观景台附近的厕所非常少好像只有几个一个是十字路口附近有一个白房子玻璃的(我去的时候在维修)，还有一个是后海对面有一个草地下去会看到一个像公园的地方(我也不知道是什么地方)往左走会有一个木头的很华丽的房子是厕所 其他我没发现后海对面的小公园可以搭帐篷和铺野餐布野餐，也可以做小烧烤(温馨提示大家如果去野餐的话要把自己的垃圾带走哦)，小公园中有可以骑自行车的通道，好像也有组双人自行车的，空气很好在附近的气球选择性买基本都小贵，但可以借人家卖的来拍照 要小心一点小吃的话大家可以适量尝试，我比较推荐有一个熏肉大饼15和一个老爷爷卖的红豆饼(红豆饼真的很好吃不是很甜我觉得很好吃3一个10四个推荐给大家)其他我还尝试了一个冰粉(一般10/15)刨冰20(踩雷)炸鸡柳(一般般10/15/20)最后还是推荐大家在天气好点的时候去，然后做好防晒还有我没有尝试坐船和快艇什么的所以不知道祝大家拍出美美的照片呦(在拍照的时候有 没有被围栏挡住的岸边要注意安全呦),"#西安后海,#总要去一趟西安的后海吧,#西安后海路线,#西安后海攻略,#西安旅游攻略,#旅游攻略"
https://www.xiaohongshu.com/explore/64b8e243000000001201b039,去西安浐灞后海看“海”,63,35,浐灞*后海傍晚的风🍃黄昏日落🌆陪你去热爱这个世界～可以直接定位📌AR浐灞后海观景平台无需门票预约 大桥七八点开灯 夜景很有特色夏天的话 建议傍晚打卡 白天又热又晒晚间有夜市 集市 很多有趣的横幅 可以拍照打卡 📷大桥上车多人多，开车容易堵车，溜娃的话 步行推儿童车较方便 ，地铁站走过去20分钟左右↔️浐河边真的很凉爽，周末后海集市人是真多，如果实在挤不过去，对面的锦江国际、艾美附近也超好的，特别是锦江国际🏨靠河边有个小朋友可以挖沙的小型游乐场，从浐河边的河堤可以进去，免费的哦～🤫也许只有那附近的小孩儿、住酒店的小孩才会发现这处游乐场吧！炎热的夏天，来浐河边吹吹风也挺好，原来生活还可以如此惬意～🍃😌,"#浐灞后海,#西安浐灞后海,#遛娃好去处,#夜景,#亲子游,#旅游,#城市夜景"
https://www.xiaohongshu.com/explore/64873826000000002702bd90,西安👉🏻后海 真的很美,4678,2731,⭐️地铁3号线坐到务庄 可以在站台拍夕阳🌇超级美出地铁一路都是美景⭐️打滴滴到后海观景平台  就可以到了入口处有个桃红色的大兔子 拍照超级美19点56分左右日落🌄 到达最佳位置 拍摄美照可以乘坐邮轮 80💰一位一路的后备箱集市泡面🍜20💰一份 ➕蛋火腿和香菇鸡尾酒 🍹手打柠檬茶🍋哈哈主打就是个氛围感打卡拍照绝绝子 超级出片,"#情侣约会好去处,#总要去一趟西安的后海吧,#西安后海"
https://www.xiaohongshu.com/explore/65229114000000001e033098,西安后海集市搬空了……,303,47,今年五月刚火起来的后海集市，终于结束了……,"#西安,#西安浐灞后海,#西安后海"
https://www.xiaohongshu.com/explore/6596e4e9000000000f03208f,在西安！！后海落日,12,3,浪漫至死不渝 专门跑过去看落日啦,
https://www.xiaohongshu.com/explore/6432dadf00000000130041c9,发朋友圈后被以为去旅游啦—西安后海打卡📷,107,41,后海一定是西安周末最值得看日落+溜达的地方之一了 有点小重庆的感觉 就算不拍照饭后遛弯也是挺推荐的 路边有人钓鱼、露营、一起唱歌 特别有生活气息（浐灞空气太好了好羡慕）又是后悔没有早点去系列 [哭惹R][哭惹R][哭惹R]想看日落的话下午五点多就差不多要到啦 我们去的时候已经很多美女在拍拍拍了（我爱美女[色色R]）没有到没地方落脚的地步 大家都是拍完就走的 不用担心人多哦！2⃣️天黑真的比天亮还美啊啊啊啊啊！划重点：天黑后最亮的机位在观景平台再向后走一点点 桥和对面的大楼交相辉映 这时候的光+景+闪光灯📸️加持简直绝美！！！！（美女们一定要试试开闪光灯！！！！！）3⃣️地方稍微有一点点远 我们是三号线坐到📍务庄后坐了🚕 大概三公里就到了 建议开车的话稍微停远一点 晚上真的会堵车呢！也可以选择乘公交车 稍微有点耗时我们就没有坐啦📍AR浐灞后海观景平台,"#西安拍照,#西安旅游,#西安周末去哪儿,#西安后海,#总要去一趟西安的后海吧,#西安看海,#西安探店,#情侣拍照"
https://www.xiaohongshu.com/explore/64f46f05000000001f0363d6,西安｜拍到了超好看的日落🌄,22,10,总要来后海看场日落吧氛围感真的绝绝子建议下午6:30-7:00之间来刚好是日落时间段可以拍到橘色的天空和波光粼粼橘子海🌊,"#海边日落,#周末去哪儿,#小红书官方给我发500个粉丝吧"
https://www.xiaohongshu.com/explore/643024690000000011010d60,西安最佳日落观赏点，不接受反驳！,54,31,,"#日落,#贩卖日落,#最美日落,#西安浐灞,#西安后海"
https://www.xiaohongshu.com/explore/649580fb0000000013007b98,西安后海,261,120,我们是七点左右去的 人超级多建议多找一些角度拍路线：3号线坐到香湖湾（保税区方向） 之后可以选择地铁出站口门口的红色小三轮车 记得一定要搞价哦！！（我们是两个人 一人5💰）走到p5的桥 旁边有一条小路 就是从小路下去哦建议拿补光灯 因为真的很黑,"#拍照,#海边拍照"
https://www.xiaohongshu.com/explore/64a846eb000000001e01ac33,避雷西安后海，尤其是晚上,26,6,后海真的别去！尤其是不要晚上八点以后才出发！我八点从小寨出发，人超级多，在西安三年我终于知道了什么叫做挤地铁了 。。。。二号线转三号线，在辛家庙下地铁已经是九点十几了。我们要坐的190死活不来，明明是45分钟发一趟（已经很长了对吧），我们去的时候，整个路线唯一的一趟公交已经快到终点了。也就是说，作为起点的辛家庙应该快要发车了。然而！我们等到了九点五十多，才来一趟190。.而且190是很小很旧的那种车，大家见过应该都知道。很多人挤在一起，吵吵嚷嚷的，我差点要疯了。。。到了后海，人超级无敌多。晚上十点多欸，居然还有那么多人！！！那条街道非常网红，就没什么西安特色，都是什么火就摆些什么。看到了很多青蛙人偶，我觉得他们蛮可怜的，这么热的晚上还要穿着这么厚的衣服来卖东西。走了半天才知道下面才是河边。河边的灯光说实话确实挺有氛围感的，但是一个人或者带着猪队友的话可能也拍不到满意的照片。河边人还挺多的，再加上这热到爆炸的气温，我的头发都被汗濡湿，没法拍好照片了。喜欢河边的话其实可以去滨河大道的，那边人比较少，也有玩水的地方。住宿也是很烦的一个点，条件稍微好一点的都在几公里外。这个就导致我们十二点还在路上走着呢。。。超级累。。。蚊子特别多，半夜被叮醒。。。酒店定位都是错的，还没有牙刷沐浴露之类的。一晚上还180，我还能说什么呢，苦笑ing。,"#酒店,#西安后海"
https://www.xiaohongshu.com/explore/64cf73d80000000010031ec7,西安｜后海很好 下次不会再来了,45,10,第一次感觉到要被挤窒息我就呆了20分钟看人看得我头晕脑胀在西安见人见的很多了 这次在后海高低能排前三本来想着晚上了出来转转散会儿步没想到越散越难受详情看图11！,
https://www.xiaohongshu.com/explore/65afb415000000001100869c,“不要温柔的走进那个良夜”,0,0,,"#西安约拍,#蓝调时刻"
https://www.xiaohongshu.com/explore/64ba06a6000000000b02bce0,西安后海,78,9,是谁还不知道西安后海！好拍又好玩,
https://www.xiaohongshu.com/explore/650673f7000000001f038385,西安City Walk｜在后海 吹惬意温柔的海风🍃,77,26,傍晚出行➡️西安人民自己的“大海”海风和月光相伴 开启一个人的城市夜行🚶🏼🔹步行穿过欧亚大道看看灞河的夜景 还可以看到世园会·长安塔五彩绚丽的琉璃塔和灞河美景真的很搭！🔹后海集市·灞河东路围炉煮茶、美酒咖啡、live演唱、特色汉堡…还经常有大量帅哥美女摊主出没🥹🔹帆船码头在这里乘坐游轮/快艇 夜游灞河🔹河滩小道各类特色小吃和手工DIY小摊 满满的烟火气～甚至还能遇到有人在河边打麻将和钓鱼🎣海风轻拂 三五好友聚在一起👫 太舒服了吧🔹VR观景平台后海夜景的最佳拍照地📸也是整个后海最出片的地方（必打卡）🔎附详细路线图～,"#西安citywalk,#城市露营,#西安夜景,#西安后海,#周末去哪儿,#西安小众拍照地,#城市露营,#假日citywalk,#西安旅游推荐"
https://www.xiaohongshu.com/explore/63fddb41000000001203161b,西安后海！更像是一个大钓场,14,3,西安浐灞，有西安的黄金水道，是灞河流经浐灞二号桥这块的水域，但好像它更多的是被人成为“西安后海”，不知道这是官方的说法还是“媒体们”的造的？这边钓鱼者众多，像是一个大钓场，观景台竟也有游轮可以坐。目前河道边还是冬天枯荣的景象，北方的春天似乎来的晚一点，我家乡的春天已开始在灿烂了。,"#旅途中的美景,#西安旅行,#西安旅行攻略,#西安后海,#西安浐灞后海,#总要去一趟西安的后海吧"
https://www.xiaohongshu.com/explore/64aed6d7000000001002be59,西安后海,164,52,西安后海去了人很多超级热海是蓝蓝的下地铁坐个三轮车就到了一个人5yuan,
https://www.xiaohongshu.com/explore/65214026000000001e022c26,西安后海,10,0,第一次去后海，没有想象中好看,
https://www.xiaohongshu.com/explore/65760c94000000000801daab,摄影｜蓝调时刻🩵,51,29,“捡一束光 照亮夜的黑暗 温暖人的前路”在陕西西安浐灞后海拍摄，后海那边的大桥的蓝色光线打在湖面很适合拍蓝调氛围感人像。我们找了一个晴天的下午落日时刻前往，天刚变得灰灰的时候最为适宜，道具是露营灯哦。很喜欢这组照片，我觉得很有电影氛围感，构想借鉴了一组照片，想的是用灯点亮周围的暗，举起灯是为了照亮这个世界。是闵大摄影师拍摄哦@野生林砾#小tips  用暖灯打在脸上保证面部完整度；记得表情管理；手腕要夸的的立起来提灯；化妆记得浓一些比较吃妆，穿衣服冬天注意保暖用大衣拍摄最有氛围哦，记得戴小配饰成为照片面部的点睛之笔,"#西安后海,#摄影,#电影感,#拍出氛围感,#摄影日常,#江边夜景,#冬天,#约拍"
https://www.xiaohongshu.com/explore/65cede040000000007004df6,后海不只有日落,8,0,下午的后海也是美爆[哇R]而且人不是很多🤣一定要找一个晴天🌞蓝天与大桥的搭配绝绝子[派对R]站着游艇的甲板上吹风不要太舒服🚢,"#西安后海,#西安后海打卡,#西安旅游攻略,#西安吃喝玩乐,#西安旅游景点"
https://www.xiaohongshu.com/explore/659acae3000000001101bc42,西安后海！！真的太好拍了,27,12,但是也是真的冷，这个冬天不会再去了[捂脸R]，可能更重要的原因是因为我穿的薄，但是很出片，大概六点多就可以拍日落了，人也比较多，氛围非常的温馨。随后是天完全黑的时候我身后的桥上灯也会亮起来，也巨出片，当然主要靠我的摄影师@靓靓 [色色R][色色R][色色R]等天气暖和起来大家也快去拍吧！！！当然我们是6号线直达到最后一站，再坐了个蹦蹦到那的,"#小众旅行地,#佳能m50二代,#后海日落🌇"
https://www.xiaohongshu.com/explore/64b769b70000000023037bfa,后海以北，西安最舒服的city walk 遛街路线,17,9,生活在浐灞也超喜欢浐灞浐灞落日真的太美太治愈啦后海往北人少遛弯儿会更舒服落日的光会在水面撒下橙色的光波水波拍着岸边的声音很治愈吹着河边的风暴走20KM+都不会觉得累的那种下次一定要带相机出来📷,"#周末去哪儿,#落日晚霞,#假日citywalk,#西安旅行攻略,#西安旅行"
https://www.xiaohongshu.com/explore/645323ac0000000011011b89,仿富士滤镜｜我在西安看“海”🌊,132,54,,"#西安,#富士,#西安浐灞后海"
https://www.xiaohongshu.com/explore/64b4b7a4000000001002bf2d,浐灞后海集市大避雷！实话实说！,46,16,[彩虹R]作为浐灞区新的网红打卡点，后海集市近期被炒的很火，吸引了很多本地年轻人纷纷前往。[满月R]但到底体验感如何呢？今天我就把自己上周刚去的经验分享给大家，希望帮助大家避雷。🚗1-交通：①自驾：定位到《AR浐灞后海观景台》或者《欧亚大道灞河东路口》即可，但最大问题是周边没有停车场，所有自驾车都停留在马路两边，稍有不慎会被贴条。大家一定要跟随大流，把车停在马路的墙边；🚌②公共交通：地铁3号线—香湖湾B2口出，然后原地直接打车过去（车费约8.5元）；⌚️2-游玩时间：鉴于当前处于夏季炎热期，且集市是室外项目，建议在[清单R]18：30以后，太阳稍微落山后再去游玩；💰3-门票免费：这个片区属于自发游玩，下车后直接自己逛吃即可，无需任何入园门票。[樱花R][樱花R]4-景区特色：📷①拍照出片圣地：这个集市透露出浓浓的文艺气息，每个小摊点都写着很能引起共鸣的话语，非常适合拍照；尤其是集市门口的粉红色大兔子，各个角度拍都好看，但排队合照的人比较多，需要等待一会。🍜②美食小吃丰富：蛋糕、咖啡、鸡尾酒、泡面、冰淇淋等等，这个地方基本都卖得是下午茶类的小吃/饮品，主食不太多，多适合年轻人尝鲜；🌊③毗邻后海：集市沿着后海而搭建，边逛可以边欣赏后海的夜景、吹着河畔的小风，十分惬意，就像到了厦门鼓浪屿的感觉；👗5-穿搭建议：对于爱拍照的美女来说，这个地方非常适合拍照，建议可以穿百褶裙、纯白连衣裙、玛丽珍鞋等这样的服装搭配，以浅色裙子为主，会拍出来那种小清新的感觉。[爆炸R][爆炸R][爆炸R]6-注意事项：①来往的小孩子、人流比较多，大家要保管好自己的手机、钱包等贵重物品；②傍晚阶段还是有点炎热，建议擦好防晒、戴好帽子、带上点防蚊虫的喷雾等；③集市的一些饮品价钱比市面稍微贵一些，味道也一般，可适当品尝。④集市不算太长，逛完可以到后海边上逛逛，一个人的话，可以带上耳机听听歌~总体而言，这个地方还是比较值得去逛下的，毕竟看看海、吹吹风也是蛮不错的，说不定还能遇到浪漫的邂逅~💗,"#自驾游,#脱单恋爱,#一起逛夜市,#夜市"
https://www.xiaohongshu.com/explore/6441282100000000270011c6,这不是沿海，这是西安🌊,45,32,感谢俺滴好盆友带着俺出来一顿狂拍[害羞R][色色R]虽然很晒很晒，而且我还不太会摆动作但是最后看起来有些图还是超赞的耶！✌太美了后海[爱心R][爱心R]虽然长途跋涉两个小时才能到[哭惹R]但是抑制不住我爱它的心🌊周末好去处！,"#笔记灵感,#日常碎片PLOG,#大学生的日常,#生活碎片,#浐灞,#西安浐灞,#浐灞后海,#日系,#日系少女,#相机,#海边拍照,#拍照,#小清新,#周末去哪儿浪,#户外好出片,#我的质感出片指南,#日系小清新"
https://www.xiaohongshu.com/explore/6481d842000000000800e5e5,这是在西安，真的不是国外,12,5,傍晚的元朔大桥也太美了，吹着河风，导航图三定位的地方就可以到。河边没有护栏，拍照很出片，有很多新人在拍婚纱照，太美了而且人很少，,"#总要去一趟西安的后海吧,#西安后海,#西安夜景"
https://www.xiaohongshu.com/explore/645aed8d00000000120312bf,西安也可以看海 🌊坐船还有游艇哦⛵️,7,6,浐灞后海适合晚上去🦭别吃饭去哈，那边有好多好吃的 浐灞的晚上🌃真的特别美位置：直接导航浐灞后海就行了想坐船的话成人票80r 可以绕着浐灞那边一个来回  天气好的情况下晚上的夜景也会更加好看  推荐去玩姐妹们,
https://www.xiaohongshu.com/explore/656d52d80000000009024010,西安浐灞后海拍照📷,10,5,,#西安拍照
https://www.xiaohongshu.com/explore/6441f7eb000000001203c0db,西安后海｜一定要来后海看一次落日🌅,1k+,1k+,📍：浐灞后海观景平台🕔：下午五六点去 就可以看到落日🌅好看而且好出片📸最赞的是 晚上的后海一整条街都是夜市[赞R]各种美食[色色R]而且每家摊位都很有特色（我觉得他们卖的不是夜市是一种情怀🥂）可以在这里买点小吃坐在湖边吹着小风🌉谁懂啊！真的很惬意🍜,"#日落,#氛围感"
https://www.xiaohongshu.com/explore/65b525d8000000001100538d,来西安总要来一趟后海吧‼️,25,16,在西安也可以看“海”！海边夕阳真的绝美，夜景也很漂亮～尤其是5-6点的夕阳➕阳光洒在河面上🟰绝美！（⚠️建议提前看一下日落时间，时间规划做起来~别错过😭）爱拍照的姐妹带上男朋友赶快冲‼️ 7-8点左右亮灯可欣赏夜景（桥上灯全开），真的很美，到晚上也有很多小商贩摆着摊，吃的喝的玩的都有，但是夏天比较多一点，不过来西安真适合来一次这里‼️ 建议有想要看后海整体景观的可以咨询租船，100💰上下不等。⚠️注意事项：1️⃣晚上回家需要滴滴的小伙伴建议走远一点，周未人流量多的时候就变单行道了，只能出不能进。2️⃣冬天比较冷，建议多穿点，最最最建议夏天去。3️⃣拍照的话建议等晚上大桥亮起来以后拍是最容易出片的，太黑的地方可以用两个手机拍一个打光一个开闪光灯拍。🏡：AR浐灞后海观景平台/灞河东路口🚇：世博园出发可乘浐灞9号线抵达⏰：建议6:00左右到，捕捉日落而息的时刻面💰：免费游玩,"#这个模板有点东西,#有一种镜头感叫自信,#记录我的城市,#游玩攻略,#出去玩,#周末去哪玩,#春节去哪儿,#风景,#西安旅游,#西安吃喝玩乐,#西安同城,#西安去哪玩,#假日citywalk,#新年去哪里玩,#西安,#爱官方官方大大求热门没流量啦,#我爱官方大大求流量"
https://www.xiaohongshu.com/explore/6468d7160000000013009299,“可以看看你们相册里面的后海吗…”,57,15,#总要来趟西安吧 ,"#拍出氛围感,#后海变成花海"
https://www.xiaohongshu.com/explore/648c3d1d00000000120330e4,总要去一趟西安后海吧｜夕阳氛围感绝了啊啊,937,387,总要去一趟西安后海吧西安后海傍晚真的巨出片特别是有夕阳的时候水面“橘子海”既视感拍照小tips：建议大家打开闪光灯长焦拍摄更出片哦最近天气好点大概傍晚7:00左右就可以拍周围氛围也特别好拍照约会散步再合适不过了,"#西安拍照好去处,#氛围感拍照,#西安后海,#总要去一趟西安的后海吧"
